['year', u'death', u'friend', u'murder', u'police', u'revenge'],
[u'1929', 0, 0, 0, 0, 0],
[u'1931', 0, 0, 0, 0, 0],
[u'1932', 0, 0, 0, 0, 0],
[u'1933', 0, 0, 0, 0, 0],
[u'1934', 0, 0, 1, 1, 0],
[u'1936', 0, 0, 0, 0, 0],
[u'1937', 0, 0, 0, 0, 0],
[u'1939', 0, 0, 0, 0, 0],
[u'1940', 0, 0, 0, 0, 0],
[u'1941', 0, 0, 0, 0, 0],
[u'1943', 0, 0, 0, 0, 0],
[u'1944', 0, 0, 0, 0, 0],
[u'1945', 0, 0, 1, 0, 0],
[u'1946', 0, 0, 0, 0, 0],
[u'1947', 0, 0, 1, 0, 0],
[u'1948', 0, 0, 0, 0, 0],
[u'1949', 0, 0, 0, 0, 0],
[u'1950', 0, 0, 0, 0, 0],
[u'1951', 0, 0, 0, 0, 0],
[u'1953', 0, 0, 1, 0, 0],
[u'1954', 1, 0, 1, 0, 0],
[u'1955', 0, 0, 1, 0, 0],
[u'1956', 0, 0, 0, 0, 0],
[u'1957', 1, 0, 0, 0, 0],
[u'1958', 0, 0, 0, 0, 0],
[u'1959', 0, 0, 1, 0, 0],
[u'1960', 0, 1, 0, 0, 0],
[u'1961', 0, 0, 0, 0, 0],
[u'1963', 0, 0, 0, 0, 0],
[u'1964', 0, 0, 0, 0, 0],
[u'1965', 0, 0, 0, 0, 0],
[u'1966', 0, 0, 0, 0, 0],
[u'1967', 1, 0, 0, 0, 0],
[u'1968', 0, 0, 0, 0, 0],
[u'1969', 0, 0, 0, 0, 0],
[u'1970', 0, 1, 0, 0, 0],
[u'1971', 2, 0, 1, 0, 0],
[u'1972', 0, 0, 0, 0, 0],
[u'1973', 0, 0, 2, 2, 0],
[u'1974', 0, 0, 1, 1, 1],
[u'1975', 0, 0, 0, 0, 0],
[u'1976', 0, 0, 1, 1, 0],
[u'1977', 0, 0, 0, 0, 0],
[u'1978', 0, 1, 0, 0, 0],
[u'1979', 0, 1, 0, 1, 0],
[u'1980', 1, 0, 1, 1, 3],
[u'1981', 2, 0, 0, 1, 0],
[u'1982', 1, 1, 0, 0, 1],
[u'1983', 0, 1, 0, 0, 1],
[u'1984', 1, 0, 1, 0, 0],
[u'1985', 0, 0, 2, 3, 0],
[u'1986', 0, 0, 1, 1, 0],
[u'1987', 0, 0, 1, 1, 0],
[u'1988', 0, 0, 2, 1, 0],
[u'1989', 1, 0, 3, 3, 0],
[u'1990', 2, 1, 2, 1, 1],
[u'1991', 1, 2, 0, 0, 2],
[u'1992', 2, 0, 5, 4, 2],
[u'1993', 0, 0, 4, 1, 0],
[u'1994', 1, 4, 1, 0, 2],
[u'1995', 0, 0, 4, 2, 0],
[u'1996', 0, 3, 4, 0, 1],
[u'1997', 2, 1, 4, 0, 2],
[u'1998', 4, 3, 2, 1, 1],
[u'1999', 1, 3, 2, 1, 2],
[u'2000', 4, 0, 3, 1, 1],
[u'2001', 3, 2, 2, 1, 2],
[u'2002', 0, 0, 4, 1, 2],
[u'2003', 2, 2, 3, 1, 2],
[u'2004', 3, 1, 1, 2, 0],
[u'2005', 3, 3, 1, 2, 1],
[u'2006', 3, 2, 1, 3, 1],
[u'2007', 2, 1, 4, 2, 1],
[u'2008', 3, 1, 3, 0, 1],
[u'2009', 2, 5, 4, 0, 3],
[u'2010', 6, 2, 4, 2, 3],
[u'2011', 1, 1, 2, 0, 0],
[u'2012', 1, 0, 0, 2, 2],
[u'2013', 1, 1, 2, 3, 0],
[u'2014', 1, 0, 2, 0, 1],
[u'2015', 1, 0, 1, 0, 2],
