['year', u'apartment', u'f rated', u'female protagonist', u'friendship', u'love'],
[u'1943', 0, 0, 0, 0, 0],
[u'1944', 0, 0, 0, 0, 0],
[u'1958', 0, 0, 0, 0, 0],
[u'1970', 0, 0, 0, 0, 1],
[u'1972', 1, 0, 0, 0, 0],
[u'1975', 0, 0, 0, 0, 0],
[u'1977', 1, 0, 0, 0, 0],
[u'1980', 0, 0, 1, 0, 0],
[u'1984', 0, 0, 0, 0, 0],
[u'1987', 0, 0, 0, 0, 0],
[u'1988', 0, 0, 1, 1, 0],
[u'1989', 0, 0, 0, 1, 0],
[u'1991', 0, 0, 0, 0, 0],
[u'1992', 0, 0, 0, 0, 0],
[u'1993', 1, 0, 0, 0, 1],
[u'1994', 0, 0, 0, 1, 1],
[u'1995', 0, 0, 0, 1, 1],
[u'1996', 0, 1, 0, 0, 1],
[u'1998', 0, 0, 0, 0, 1],
[u'1999', 0, 0, 0, 0, 0],
[u'2000', 0, 1, 0, 0, 1],
[u'2001', 0, 0, 0, 0, 0],
[u'2002', 0, 0, 0, 0, 0],
[u'2003', 0, 0, 0, 0, 0],
[u'2004', 0, 0, 0, 0, 0],
[u'2005', 0, 0, 0, 0, 1],
[u'2006', 0, 0, 0, 0, 1],
[u'2007', 0, 0, 0, 0, 0],
[u'2008', 0, 0, 0, 0, 0],
[u'2009', 0, 0, 0, 0, 0],
[u'2010', 1, 0, 2, 0, 0],
[u'2011', 0, 1, 0, 1, 0],
[u'2012', 0, 0, 0, 0, 0],
[u'2013', 0, 0, 0, 0, 0],
[u'2014', 0, 1, 0, 0, 0],
[u'2015', 0, 1, 1, 0, 0],
